amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score
118635,Nippon India ETF Nifty 50 BeES,13.17,0.3932,15.1364,-11.65,0.89,55.00000000000001,52.5,45.0,70.0,25.0,51.62
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.29,0.1348,11.9891,-21.12,0.78,50.0,37.5,37.5,77.5,72.5,50.75
119093,Axis Bluechip Fund - Direct - Growth,8.93,-0.0471,8.2328,-21.75,0.75,40.0,32.5,32.5,82.5,77.5,46.75
102885,UTI Nifty 50 Index Fund - Regular - Growth,13.11,0.5198,17.0488,-10.86,1.57,52.5,62.5,55.00000000000001,17.5,17.5,46.75
118634,Nippon India Small Cap Fund - Regular - Growth,5.81,0.2923,17.5007,-23.34,1.53,35.0,45.0,57.49999999999999,31.25,80.0,45.94
149322,DSP Top 100 Equity Fund - Regular - Growth,13.59,0.2397,13.1732,-14.84,1.54,62.5,40.0,42.5,26.25,40.0,45.19
120841,Kotak Bluechip Fund - Regular - Growth,6.33,0.2551,13.0429,-17.57,1.59,37.5,42.5,40.0,15.0,60.0,38.12
120842,Kotak Emerging Equity Fund - Regular - Growth,9.84,-0.0582,7.8044,-24.0,1.56,42.5,30.0,30.0,20.0,82.5,37.5
119599,SBI Small Cap Fund - Direct Plan - Growth,-3.46,-0.1362,4.8824,-52.57,0.72,10.0,25.0,12.5,88.75,100.0,35.06
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.54,-0.8506,5.0748,-8.32,0.55,32.5,12.5,15.0,100.0,15.0,32.38
101207,ABSL Small Cap Fund - Regular - Growth,-5.57,0.0526,10.8971,-35.45,1.53,5.0,35.0,35.0,31.25,95.0,31.44
120507,ICICI Pru Liquid Fund - Regular - Growth,4.96,-3.6502,6.7462,-0.1,0.74,27.500000000000004,7.5,25.0,85.0,2.5,28.12
120844,Kotak Liquid Fund - Regular - Growth,4.52,-4.0003,6.4557,-0.12,0.6,25.0,5.0,22.5,95.0,5.0,28.0
119095,Axis Small Cap Fund - Regular - Growth,-9.74,-0.1517,4.8016,-51.68,1.38,2.5,22.5,10.0,60.0,97.5,27.12
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,2.95,-0.7431,5.6209,-4.33,0.77,17.5,15.0,17.5,80.0,12.5,25.75
100025,HDFC Short Term Debt Fund - Regular - Growth,4.11,-1.0399,4.2818,-4.31,0.56,20.0,10.0,7.5,97.5,10.0,25.62
101208,ABSL Liquid Fund - Regular - Growth,4.34,-4.6504,6.0861,-0.16,0.79,22.5,2.5,20.0,75.0,7.5,23.38
102886,UTI Mid Cap Fund - Regular - Growth,-3.66,-0.2949,2.8969,-28.0,1.51,7.5,20.0,2.5,41.25,87.5,22.69
119092,Axis Bluechip Fund - Regular - Growth,0.05,-0.131,6.8995,-14.4,1.64,15.0,27.500000000000004,27.500000000000004,3.75,37.5,21.19
100016,HDFC Top 100 Fund - Regular Plan - Growth,-1.8,-0.321,3.7476,-24.73,1.55,12.5,17.5,5.0,22.5,85.0,21.0
